branch,item_a,item_b,pair_customers,support,lift,uplift_spend
Main Street Coffee,CHIMNEY TRIPLE CHOCOLATE,WHITE CHOCOLATE SPREAD CHIMNEY.,3,0.2,4.999999999999999,
Main Street Coffee,"BROWNIES,(R)","NUTELLA SAUCE ,(R)",3,0.2,4.999999999999999,
Main Street Coffee,ADD ICE CREAM,ICE CREAM ON TOP,3,0.2,4.999999999999999,
Main Street Coffee,"CARAMEL SAUCE, (R)","WHIPPED CREAM ,",4,0.26666666666666666,3.75,
Main Street Coffee,"CARAMEL SAUCE, (R)",CHIMNEY TRIPLE CHOCOLATE,3,0.2,3.75,
Main Street Coffee,"CARAMEL SAUCE, (R)",WHITE CHOCOLATE SPREAD CHIMNEY.,3,0.2,3.75,
Main Street Coffee,CHIMNEY TRIPLE CHOCOLATE,"WHIPPED CREAM ,",3,0.2,3.75,
Main Street Coffee,"WHIPPED CREAM ,",WHITE CHOCOLATE SPREAD CHIMNEY.,3,0.2,3.75,
Main Street Coffee,CONUT THE ONE,NUTELLA SPREAD CONUT.,3,0.2,3.75,
Main Street Coffee,BROWNIES . (R),"CARAMEL SAUCE, (R)",4,0.26666666666666666,3.0000000000000004,
Main Street Coffee,BROWNIES . (R),"WHIPPED CREAM ,",4,0.26666666666666666,3.0000000000000004,
Main Street Coffee,BROWNIES . (R),CHIMNEY TRIPLE CHOCOLATE,3,0.2,3.0,
Main Street Coffee,BROWNIES . (R),WHITE CHOCOLATE SPREAD CHIMNEY.,3,0.2,3.0,
Main Street Coffee,CONUT THE ONE,"STRAWBERRY , (R)",3,0.2,3.0,
Main Street Coffee,BROWNIES . (R),"STRAWBERRY,(R)",5,0.3333333333333333,2.5,
Main Street Coffee,"CARAMEL SAUCE, (R)","STRAWBERRY,(R)",4,0.26666666666666666,2.5,
Main Street Coffee,"STRAWBERRY,(R)","WHIPPED CREAM ,",4,0.26666666666666666,2.5,
Main Street Coffee,CHIMNEY TRIPLE CHOCOLATE,"NUTELLA SAUCE,(R)",3,0.2,2.4999999999999996,
Main Street Coffee,CHIMNEY TRIPLE CHOCOLATE,"STRAWBERRY,(R)",3,0.2,2.4999999999999996,
Main Street Coffee,"NUTELLA SAUCE,(R)",WHITE CHOCOLATE SPREAD CHIMNEY.,3,0.2,2.4999999999999996,
Main Street Coffee,"STRAWBERRY,(R)",WHITE CHOCOLATE SPREAD CHIMNEY.,3,0.2,2.4999999999999996,
Main Street Coffee,BROWNIES . (R),NUTELLA SPREAD CONUT.,3,0.2,2.2500000000000004,
Main Street Coffee,NUTELLA SPREAD CONUT.,"STRAWBERRY , (R)",3,0.2,2.2500000000000004,
Main Street Coffee,"NUTELLA SAUCE,(R)",NUTELLA SPREAD CHIMNEY.,6,0.4,2.142857142857143,
Main Street Coffee,NUTELLA SPREAD CHIMNEY.,"STRAWBERRY,(R)",6,0.4,2.142857142857143,
Main Street Coffee,BROWNIES . (R),NUTELLA SPREAD CHIMNEY.,5,0.3333333333333333,2.142857142857143,
Main Street Coffee,"CARAMEL SAUCE, (R)",NUTELLA SPREAD CHIMNEY.,4,0.26666666666666666,2.142857142857143,
Main Street Coffee,NUTELLA SPREAD CHIMNEY.,"WHIPPED CREAM ,",4,0.26666666666666666,2.142857142857143,
Main Street Coffee,CHIMNEY TRIPLE CHOCOLATE,NUTELLA SPREAD CHIMNEY.,3,0.2,2.142857142857143,
Main Street Coffee,NUTELLA SPREAD CHIMNEY.,WHITE CHOCOLATE SPREAD CHIMNEY.,3,0.2,2.142857142857143,
Main Street Coffee,"BROWNIES , (R)",NUTELLA SAUCE . (R),3,0.2,2.142857142857143,
Main Street Coffee,"BROWNIES,(R)",NUTELLA SAUCE . (R),3,0.2,2.142857142857143,
Main Street Coffee,HOT,NUTELLA SAUCE . (R),3,0.2,2.142857142857143,
Main Street Coffee,"NUTELLA SAUCE ,(R)",NUTELLA SAUCE . (R),3,0.2,2.142857142857143,
Main Street Coffee,ADD ICE CREAM,NUTELLA SAUCE . (R),3,0.2,2.142857142857143,
Main Street Coffee,ICE CREAM BOWL,NUTELLA SAUCE . (R),3,0.2,2.142857142857143,
Main Street Coffee,ICE CREAM ON TOP,NUTELLA SAUCE . (R),3,0.2,2.142857142857143,
Main Street Coffee,NUTELLA SAUCE . (R),WATER,3,0.2,2.142857142857143,
Main Street Coffee,"NUTELLA SAUCE,(R)","STRAWBERRY,(R)",5,0.3333333333333333,2.0833333333333326,
Main Street Coffee,BROWNIES . (R),"NUTELLA SAUCE,(R)",4,0.26666666666666666,2.0,
Main Street Coffee,BROWNIES . (R),CHIMNEY THE ONE,5,0.3333333333333333,1.8750000000000002,
Main Street Coffee,CHIMNEY THE ONE,"STRAWBERRY,(R)",6,0.4,1.875,
Main Street Coffee,"CARAMEL SAUCE, (R)",CHIMNEY THE ONE,4,0.26666666666666666,1.875,
Main Street Coffee,CHIMNEY THE ONE,"WHIPPED CREAM ,",4,0.26666666666666666,1.875,
Main Street Coffee,"CARAMEL SAUCE, (R)","NUTELLA SAUCE,(R)",3,0.2,1.875,
Main Street Coffee,CHIMNEY THE ONE,CHIMNEY TRIPLE CHOCOLATE,3,0.2,1.875,
Main Street Coffee,CHIMNEY THE ONE,WHITE CHOCOLATE SPREAD CHIMNEY.,3,0.2,1.875,
Main Street Coffee,"NUTELLA SAUCE,(R)","WHIPPED CREAM ,",3,0.2,1.875,
Main Street Coffee,NUTELLA SPREAD CONUT.,"STRAWBERRY,(R)",3,0.2,1.875,
Main Street Coffee,CHIMNEY THE ONE,CRUSHED LOTUS .(R),3,0.2,1.875,
Main Street Coffee,BROWNIES . (R),"STRAWBERRY , (R)",3,0.2,1.8000000000000003,
Main Street Coffee,BROWNIES . (R),NUTELLA SAUCE . (R),4,0.26666666666666666,1.7142857142857142,
Main Street Coffee,NUTELLA SAUCE . (R),"STRAWBERRY , (R)",4,0.26666666666666666,1.7142857142857142,
Main Street Coffee,CHIMNEY THE ONE,NUTELLA SPREAD CHIMNEY.,6,0.4,1.6071428571428572,
Main Street Coffee,"CARAMEL SAUCE, (R)",NUTELLA SAUCE . (R),3,0.2,1.6071428571428572,
Main Street Coffee,NUTELLA SAUCE . (R),NUTELLA SPREAD CONUT.,3,0.2,1.6071428571428572,
Main Street Coffee,NUTELLA SAUCE . (R),"WHIPPED CREAM ,",3,0.2,1.6071428571428572,
Main Street Coffee,NUTELLA SPREAD CHIMNEY.,NUTELLA SPREAD CONUT.,3,0.2,1.6071428571428572,
Main Street Coffee,CHIMNEY THE ONE,"NUTELLA SAUCE,(R)",5,0.3333333333333333,1.5624999999999998,
Main Street Coffee,"STRAWBERRY , (R)","STRAWBERRY,(R)",3,0.2,1.5,
