item,customers,qty,sales
CHIMNEY THE ONE,5,15.0,18772297.2
"CARAMEL SAUCE, (R)",5,11.0,0.0
FULL FAT MILK,5,7.0,0.0
NUTELLA SPREAD CHIMNEY.,5,16.0,0.0
"STRAWBERRY,(R)",5,19.0,0.0
"NUTELLA SAUCE,(R)",4,8.0,0.0
CLASSIC CHIMNEY,3,3.0,1787837.8499999999
BROWNIES . (R),3,6.0,0.0
NO SPREAD,3,3.0,0.0
WHIPPED CREAM...,3,4.0,0.0
CHIMNEY TRIPLE CHOCOLATE,2,4.0,5244324.32
CHIMNEY PISTACHIO,2,2.0,2860540.54
CHIMNEY BOSTON CHEESECAKE,2,2.0,2622162.16
WATER,2,2.0,158918.9
CRUSHED LOTUS .(R),2,2.0,0.0
"NO SPREAD,,",2,3.0,0.0
NO WHIPPED CREAM,2,2.0,0.0
PRESSED,2,2.0,0.0
STRAWBERRY .(R),2,2.0,0.0
"WHIPPED CREAM ,",2,2.0,0.0
